Name,Website,Description,Logo,Address
Unltd India,http://www.unltdindia.org/,"We find, fund and support exceptional individuals whose ideas, passion and entrepreneurial skills can bring about long-term solutions to India's social problems.",http://www.unltdindia.org/sites/all/themes/unltd/images/unLtd_logo.jpg,"Block No. 7, 3rd Floor, Candelar Building, 26 St. John Baptist Road, Near Mount Mary Steps, Bandra West, Mumbai"
SINE IITB,http://www.sineiitb.org/,SINE administers a business incubator which provides support for technology based entrepreneurship.,http://www.sineiitb.org/img/sine.gif,"IIT Bombay, Powai, Mumbai"
Seedfund,http://www.seedfund.in/,"We aim to make a visible difference in backing early-stage companies across sectors. With “a little money and a lot of attention” Seedfund started plugging the gap in the ecosystem, by providing guidance, perspectives, ideas, and connections.",http://www.seedfund.in/css/images/logo.png,"3, Turf Estate, Shakti Mills Lane, Off. Dr. E Moses Road, Mahalaxmi, Mumbai"
